CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,1.03857,,1.03801,,1.04039,1.03677,1.04432,1.0479,1.04509,1.04765,1.03967,1.02827,1.02808,1.02834,1.02437,1.02157,1.01984,1.01407,1.01321
Comoros,,,0.82888,0.82689,0.84807,,,,,,,,,0.97533,0.97979,,,0.99313,
Cabo Verde,,1.00884,1.00252,1.01044,1.01335,1.0205,1.04894,1.05111,1.01504,1.03777,1.03982,1.03091,1.03664,1.02905,1.01991,1.01452,1.01014,1.00729,1.007
Costa Rica,1.00061,1.00852,0.99932,,1.001,1.00064,1.00517,1.00234,1.00673,1.00807,1.00735,1.00842,1.01007,1.02139,1.02212,1.01672,1.02941,1.04103,1.04136
Caribbean small states,1.011229992,1.009389997,1.020900011,1.019050002,1.017740011,1.02049005,1.022240043,1.02196002,1.019989967,1.010519981,1.02249,1.02475,1.02653,1.01862,1.02093,1.03294,1.01652,1.0182,1.00971
Cuba,0.9885,0.9934,0.97194,0.97134,0.98942,0.99403,0.99971,0.9925,0.99189,0.99211,0.98966,0.98981,0.99721,0.99225,0.98282,0.9852,0.99113,0.98496,0.98682
Curacao,,,,,,,,,,,,,,1.00252,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,
Cyprus,1.01198,1.00584,1.01154,1.01033,1.01149,1.00908,1.00742,1.00612,1.00065,1.00186,1.00617,1.00435,1.00855,1.0033,1.00446,0.99619,,,
Czech Republic,1.01072,1.01727,1.0143,1.0126,1.00547,1.00723,1.0088,1.00705,1.00634,1.00646,1.00235,0.99926,1.00087,1.00464,1.00286,1.00706,1.00721,1.00649,
Germany,0.9825,0.98327,0.98213,0.98007,0.98045,0.98039,0.97807,0.98008,0.97805,0.96033,0.96125,0.96001,0.96137,0.96446,0.96531,0.96611,0.96373,0.95765,
Djibouti,0.71502,0.71128,0.71751,,0.75024,0.75587,0.76483,0.82047,0.85484,0.90627,,1.00932,0.993,0.98329,1.00177,1.00581,1.01397,1.0255,1.01445
Dominica,1.06045,1.04516,1.0518,1.05835,1.03825,1.03649,1.02587,1.02189,1.00523,1.03811,1.03262,1.02919,,,0.99576,0.98606,,,
Denmark,1.02386,1.02712,1.02657,,1.02443,1.01886,1.01807,1.01705,1.01811,1.01238,1.00575,1.00558,1.00245,1.0091,1.01689,1.01845,1.00967,1.00288,
Dominican Republic,1.04057,,1.07087,,1.02597,1.03607,,1.03482,1.02837,0.96427,0.97235,0.98949,0.98647,0.9881,0.9852,0.98537,0.99023,0.99357,
Algeria,0.96421,0.97402,0.98011,0.99055,0.99585,0.99926,1.00128,1.00128,0.9862,0.97905,0.99363,0.9949,,,,,,,
