country,code,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
Sweden,SWE,44.7,44.7,44.7,44.7,43.6,43.6,43.6,46.1
India,IND,11,11,11,11.4,12,12,11.8,11.8
