Indicator Name,geoAreaName,parentName,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
Proportion of women in managerial positions (%),Eswatini,Southern Africa,,,,,,,,,,,,,,,,,43.4,
Proportion of women in managerial positions (%),Sweden,Northern Europe,30.7,30.5,30.7,30.3,30.3,31.9,32.1,31.6,32.1,32.5,31.4,34.5,35.5,35.4,37.1,39.6,39.3,38.9
Proportion of women in managerial positions (%),Switzerland,Western Europe,23.4,25.3,27.7,28.2,26.8,28.3,30.6,30.4,30.2,31.5,33.5,33.8,33.8,33.4,34.4,35.6,35.9,33.9
Proportion of women in managerial positions (%),Syrian Arab Republic,Western Asia,,,,,,,,10.2,,8.3,9,,,,,,,
Proportion of women in managerial positions (%),Tajikistan,Central Asia,,,,,,,,,,14.8,,,,,,,,
Proportion of women in managerial positions (%),Thailand,South-Eastern Asia,,25.5,25.3,26.3,27.5,28.8,29.2,29.7,23.7,24.2,25.8,24.6,28.2,33,32.7,32.8,32.7,
Proportion of women in managerial positions (%),Togo,Western Africa,,,,,,,,,,,,4,,,,29.8,,
Proportion of women in managerial positions (%),Tokelau,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Tonga,Polynesia,,,,26.6,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Trinidad and Tobago,Caribbean,39.2,39.9,37.8,39.3,40.9,43.5,,,,41.3,43.1,41,43.1,43.9,43.8,41.9,44.5,
Proportion of women in managerial positions (%),United Arab Emirates,Western Asia,,,,,,10.2,,,10,,,,,,,,14.6,12.5
Proportion of women in managerial positions (%),Tunisia,Northern Africa,,,,,,,,,,12.2,12.7,13.9,14.8,,,,,
Proportion of women in managerial positions (%),Turkey,Western Asia,,8,6.8,6.2,6.6,6.9,8.2,8.6,9.8,10.2,10,11,12.2,14.4,13.4,13.2,15.1,15
Proportion of women in managerial positions (%),Turkmenistan,Central Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Turks and Caicos Islands,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Tuvalu,Polynesia,,,24.6,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Uganda,Eastern Africa,,,27.6,33.3,,,,,,20.2,,,22.8,25.3,,,,31.8
Proportion of women in managerial positions (%),Ukraine,Eastern Europe,36.7,37.4,38.5,39.6,43.1,38.2,38.3,39.4,38.6,41.1,41.2,,,38.3,37.8,39.6,40.9,41.1
Proportion of women in managerial positions (%),North Macedonia,Southern Europe,,,19,26.8,28,28.5,27.2,29.3,28.5,26.8,27.9,27.9,23.1,27.3,29,24,25.3,24
Proportion of women in managerial positions (%),Egypt,Northern Africa,10.1,9.3,9,8.5,8,10.4,10.8,11.1,11.8,14,13.9,13.5,9.7,7.1,,6.4,7.1,6.4
Proportion of women in managerial positions (%),United Kingdom of Great Britain and Northern Ireland,Northern Europe,34.5,30.9,32.5,32.3,33.1,34.3,34.6,34.4,34.9,35.6,35.7,34.6,34.4,34,35.3,35.4,36,36.2
Proportion of women in managerial positions (%),Guernsey,Channel Islands,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Jersey,Channel Islands,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Isle of Man,Northern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),United Republic of Tanzania,Eastern Africa,,49.2,,,,,16.5,,,,,,,,23.3,,,
Proportion of women in managerial positions (%),United States of America,Northern America,36,36.4,36.8,37.5,37.3,37.8,37.2,38.4,38.3,38.3,39.1,38.9,39.4,38.9,39,39.6,39.7,40.5
Proportion of women in managerial positions (%),United States Virgin Islands,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Burkina Faso,Western Africa,,,,,,,31,,,,,,,,,,,
Proportion of women in managerial positions (%),Uruguay,South America,36.3,37.1,37,35.2,31.8,35.4,41.2,41.7,41.7,42.2,45.1,31.9,34.5,32.9,31,32.8,33.1,34.6
Proportion of women in managerial positions (%),Uzbekistan,Central Asia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Venezuela (Bolivarian Republic of),South America,,,,,,30.7,30.6,30,30.7,30.3,31.6,32.7,33.6,,,,,
Proportion of women in managerial positions (%),Wallis and Futuna Islands,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Samoa,Polynesia,,28.5,,,,,30,,,,,36.3,47.3,,47.3,,,43.1
Proportion of women in managerial positions (%),Yemen,Western Asia,,,,,7.1,,2.1,,,,5.7,,,,4.1,,,
Proportion of women in managerial positions (%),Zambia,Eastern Africa,,,,,,,,,,,,,,,,,,
